num_id,track_id,track_popularity,artist_popularity,danceability,energy,key,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,artist_genres_concat,transformed_loudness
13788158,07bsRv0pcpbG4zJeLsUs1p,14,75,0.623,0.434,10,0.0643,0.49658,0.00038393,0.0598,0.5615,128.174,183144,hip+hop_rap,12.77044121781364
12626117,1O2pcBJGej0pmH2Y9XZMs6,6,82,0.769,0.725,3,0.0856,0.01383,0.00046206,0.0894,0.5196,101.696,154507,alt+z_gen+z+singer-songwriter_singer-songwriter+pop,15.689579158555716
11795059,2Wo6QQD1KMDWeFkkjLqwx5,20,91,0.797,0.792,10,0.2067,0.11248,9.692e-05,0.0823,0.8093,106.36,190032,pop,16.793568728491664
14576532,3KdoeNlEN0BoAKWzaRLNZa,3,86,0.676,0.641,6,0.062,0.26194,6.56e-06,0.1045,0.7519,127.314,178770,melodic+rap,15.547593966592103
14035807,2i8f4VnnBjy0yDqH2C452a,23,93,0.709,0.663,10,0.0273,0.17552,0.00016282,0.2001,0.1651,105.977,298210,pop,15.087327449582517
1861908,5TnQ453LtEy08EwrIUtB1e,0,83,0.772,0.527,9,0.0682,0.34704,1e-08,0.0777,0.5946,80.033,200713,alt+z_gen+z+singer-songwriter_singer-songwriter+pop,14.886049060616642
4563116,3k79jB4aGmMDUQzEwa46Rz,16,90,0.676,0.766,10,0.0844,0.34818,0.00097679,0.2588,0.7091,156.741,219171,chicago+rap_hip+hop_rap,15.525294168386608
13162972,3tjFYV6RSFtuktYl3ZtYcq,5,85,0.681,0.897,11,0.0396,0.05962,0.00018621,0.4345,0.6324,132.498,173634,art+pop_pop,17.11724711675197
6285116,5TnQ453LtEy08EwrIUtB1e,0,81,0.654,0.695,11,0.061,0.38773,0.000238,0.4468,0.8467,167.674,157093,deep+underground+hip+hop_kentucky+hip+hop_pop+rap_rap,14.81476470362395
2584133,1BSMpVGWs3v5BZKnAQziAc,12,95,0.697,0.752,1,0.0424,0.02913,8.726e-05,0.1148,0.6155,116.42,263544,pop,15.992305789142847
1372555,3RfTeIrWS8LNrfHYwechtt,0,64,0.802,0.673,10,0.0639,0.74981,2.59e-05,0.3559,0.2743,163.245,154400,k-pop_k-pop+boy+group_pop,14.220413984265178
10272628,5TnQ453LtEy08EwrIUtB1e,0,94,0.612,0.818,2,0.031,0.01033,0.00011385,0.0892,0.8098,165.423,193534,pop,16.781950290780514
13939911,0RbW8kWozrVSIGb4V13o0o,0,69,0.828,0.285,7,0.0757,0.89768,5.199e-05,0.3781,0.3705,81.586,191860,pop_viral+pop,9.939639957621694
8817573,02kDW379Yfd5PzW5A6vuGt,22,73,0.704,0.414,1,0.0954,0.64701,0.0,0.0479,0.4397,93.072,165591,art+pop_art+rock_baroque+pop_new+wave+pop_permanent+wave_piano+rock_singer-songwriter,13.419844242278486
6815123,1BSMpVGWs3v5BZKnAQziAc,17,91,0.567,0.885,7,0.0787,0.00148,0.00061434,0.294,0.6048,172.847,216960,pop,16.239366254303604
11569224,7MAibcTli4IisCtbHKrGMh,21,81,0.615,0.595,7,0.0365,0.80493,7.192e-05,0.0448,0.3065,157.952,201999,pop,13.869182698894292
15818554,5JqZ3oqF00jkT81foAFvqg,4,91,0.504,0.747,11,0.1215,0.38919,0.00016005,0.1263,0.789,167.561,246696,gauze+pop_indietronica_modern+rock_pov:+indie_shiver+pop,15.107017767615616
7722168,02kDW379Yfd5PzW5A6vuGt,5,79,0.719,0.816,2,0.0272,0.01231,0.00014753,0.2165,0.4189,125.234,227144,pop,16.50827507954091
2781325,5S9Zs5g9lTWnLIboN1pdlU,3,90,0.862,0.847,6,0.1948,0.00894,7.971e-05,0.0534,0.8943,139.49,174318,art+pop_art+rock_baroque+pop_new+wave+pop_permanent+wave_piano+rock_singer-songwriter,16.83543426170945
14182778,5qNh5WtzMbfpSj2jLlBkoD,13,79,0.755,0.514,10,0.0391,0.55373,6.48e-06,0.0539,0.4454,78.371,206076,dance+pop_pop,14.31902573723346
