year,track_name,track_popularity,album,artist_name,artist_genres,main_genre,artist_popularity,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_min
2019,Cruel Summer,96,Lover,Taylor Swift,['pop'],pop,100,0.552,0.702,9,-5.707,0.157,0.117,2.06e-05,0.105,0.564,169.994,2.97
2023,Cruel Summer,96,Lover,Taylor Swift,['pop'],pop,100,0.552,0.702,9,-5.707,0.157,0.117,2.06e-05,0.105,0.564,169.994,2.97
2023,greedy,96,greedy,Tate McRae,['pop'],pop,85,0.75,0.733,6,-3.18,0.0319,0.256,0.0,0.114,0.844,111.018,2.2
2023,My Love Mine All Mine,94,The Land Is Inhospitable and So Are We,Mitski,"['brooklyn indie', 'pov: indie']",,84,0.504,0.308,9,-14.958,0.0321,0.868,0.135,0.158,0.121,113.95,2.3
2023,Lovin On Me,93,Lovin On Me,Jack Harlow,"['deep underground hip hop', 'kentucky hip hop', 'pop rap', 'rap']",hip hop,83,0.943,0.558,2,-4.911,0.0568,0.0026,2.19e-06,0.0937,0.606,104.983,2.31
2023,I Wanna Be Yours,93,AM,Arctic Monkeys,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",rock,86,0.464,0.417,0,-9.345,0.0256,0.136,0.022,0.0974,0.479,67.528,3.07
2006,Unwritten,92,Unwritten,Natasha Bedingfield,"['dance pop', 'pop', 'post-teen pop']",pop,76,0.706,0.8,5,-6.333,0.0399,0.00584,0.0,0.0822,0.629,100.011,4.32
2023,Water,92,Water,Tyla,[],,80,0.673,0.722,3,-3.495,0.0755,0.0856,0.0,0.137,0.519,117.187,3.34
2023,I Remember Everything (feat. Kacey Musgraves),92,Zach Bryan,Zach Bryan,['classic oklahoma country'],,88,0.429,0.453,0,-7.746,0.0459,0.554,2e-06,0.102,0.155,77.639,3.79
2023,Houdini,92,Houdini,Dua Lipa,"['dance pop', 'pop', 'uk pop']",pop,89,0.744,0.789,9,-4.876,0.059,0.0036,0.00144,0.0947,0.866,116.985,3.1
2023,Standing Next to You,92,GOLDEN,Jung Kook,['k-pop'],pop,86,0.711,0.809,2,-4.389,0.0955,0.0447,0.0,0.339,0.816,106.017,3.43
2016,Starboy,91,Starboy,The Weeknd,"['canadian contemporary r&b', 'canadian pop', 'pop']",r&b,95,0.679,0.587,7,-7.015,0.276,0.141,6.35e-06,0.137,0.486,186.003,3.84
2023,"What Was I Made For? [From The Motion Picture ""Barbie""]",91,"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,"['art pop', 'pop']",pop,89,0.444,0.0911,0,-17.665,0.0307,0.959,1.05e-06,0.098,0.142,78.403,3.71
2023,Daylight,91,Daylight,David Kushner,"['gen z singer-songwriter', 'singer-songwriter pop']",pop,77,0.508,0.43,2,-9.475,0.0335,0.83,0.000441,0.093,0.324,130.09,3.55
2023,As It Was,91,Harry's House,Harry Styles,['pop'],pop,85,0.52,0.731,6,-5.338,0.0557,0.342,0.00101,0.311,0.662,173.93,2.79
2023,Like Crazy,91,FACE,Jimin,['k-pop'],pop,82,0.629,0.733,7,-5.445,0.0419,0.0025,0.0,0.357,0.362,120.001,3.54
2023,Feather,91,emails i canít send fwd:,Sabrina Carpenter,['pop'],pop,82,0.787,0.686,6,-4.37,0.0339,0.0893,0.0,0.0927,0.836,123.51,3.09
2000,Yellow,90,Parachutes,Coldplay,"['permanent wave', 'pop']",pop,88,0.429,0.661,11,-7.227,0.0281,0.00239,0.000121,0.234,0.285,173.372,4.45
2012,Locked out of Heaven,90,Unorthodox Jukebox,Bruno Mars,"['dance pop', 'pop']",pop,89,0.726,0.698,5,-4.165,0.0431,0.049,0.0,0.309,0.867,143.994,3.89
2013,Another Love,90,Long Way Down (Deluxe),Tom Odell,['chill pop'],pop,77,0.445,0.537,4,-8.532,0.04,0.695,1.65e-05,0.0944,0.131,122.769,4.07
2013,Locked out of Heaven,90,Unorthodox Jukebox,Bruno Mars,"['dance pop', 'pop']",pop,89,0.726,0.698,5,-4.165,0.0431,0.049,0.0,0.309,0.867,143.994,3.89
2019,Lover,90,Lover,Taylor Swift,['pop'],pop,100,0.359,0.543,7,-7.582,0.0919,0.492,1.58e-05,0.118,0.453,68.534,3.69
2021,Blinding Lights,90,After Hours,The Weeknd,"['canadian contemporary r&b', 'canadian pop', 'pop']",r&b,95,0.514,0.73,1,-5.934,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,3.33
2022,I'm Good (Blue),90,I'm Good (Blue),David Guetta,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",pop,88,0.561,0.965,7,-3.673,0.0343,0.00383,7.07e-06,0.371,0.304,128.04,2.92
2023,Snooze,90,SOS,SZA,"['pop', 'r&b', 'rap']",pop,91,0.559,0.551,5,-7.231,0.132,0.141,0.0,0.11,0.392,143.008,3.36
