danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_min,popularity,track_name,artist_name
0.722,0.476,5,-8.203,0.0896,0.67,0.0,0.0926,0.927,151.968,3.68,8,Este Corazón,El Javi
0.955,0.281,0,-11.392,0.466,0.0048,0.0595,0.122,0.0934,127.991,2.49,0,thinking and doing,Br80
0.753,0.355,8,-11.799,0.514,0.573,0.0,0.0735,0.6,91.978,2.17,0,Puzzlement,JpThaRuler
0.65,0.331,3,-10.818,0.383,0.865,0.0,0.105,0.581,99.513,1.94,0,Sensi,JpThaRuler
0.69,0.36,4,-15.624,0.455,0.764,0.0,0.181,0.105,89.893,1.86,0,Rass,JpThaRuler
0.849,0.275,6,-15.728,0.694,0.414,0.0,0.0776,0.376,102.053,2.14,0,Reaching,JpThaRuler
0.846,0.269,9,-11.843,0.46,0.756,0.0,0.0914,0.318,91.991,2.33,0,10,JpThaRuler
0.725,0.235,6,-16.269,0.507,0.748,0.0,0.116,0.549,96.462,2.31,0,Fast Life,JpThaRuler
0.724,0.315,10,-14.677,0.861,0.445,0.0,0.0863,0.531,91.456,2.31,0,King Speech,JpThaRuler
0.699,0.209,6,-14.41,0.62,0.367,0.0,0.0632,0.298,89.102,4.38,0,irie,JpThaRuler
0.772,0.26,9,-16.745,0.872,0.87,0.0,0.126,0.252,98.272,2.74,0,Red Chanel,JpThaRuler
0.826,0.277,1,-15.798,0.561,0.526,0.0,0.108,0.382,100.034,1.42,0,can't lose you,JpThaRuler
0.694,0.348,1,-11.542,0.36,0.785,1.19e-06,0.106,0.251,91.066,1.38,0,Violent Love,JpThaRuler
0.762,0.452,1,-9.722,0.379,0.338,0.0,0.185,0.544,98.728,1.36,0,HOT ASF,JpThaRuler
0.565,0.509,1,-10.75,0.429,0.894,0.0,0.296,0.506,94.4,1.76,0,Hell Top Him,JpThaRuler
0.778,0.421,0,-7.322,0.362,0.492,0.0,0.117,0.113,87.631,2.01,0,Trippie Redd,JpThaRuler
0.666,0.0198,0,-12.741,0.265,0.533,0.0,0.0757,0.0359,83.869,2.75,0,Burn Yours,JpThaRuler
0.749,0.394,7,-12.669,0.294,0.271,0.0,0.123,0.664,142.06,1.87,0,Secret,JpThaRuler
0.765,0.378,11,-12.536,0.293,0.669,0.0,0.132,0.283,158.87,1.83,0,OverNight,JpThaRuler
0.649,0.664,4,-10.118,0.28,0.0153,8.03e-05,0.226,0.398,170.067,2.93,0,Riskin It All,Jimmy D
0.517,0.387,4,-11.013,0.0994,0.339,0.0,0.0943,0.387,143.022,1.02,0,Cheaper To Keep,Kafime
0.628,0.542,2,-9.17,0.438,0.0324,0.0,0.304,0.817,97.818,1.02,0,The Procedure,Kafime
0.872,0.383,7,-7.272,0.0667,0.0225,0.0,0.126,0.132,132.028,1.02,0,All The Smoke,Kafime
0.756,0.566,0,-6.502,0.0321,0.635,0.0908,0.135,0.194,136.969,1.02,0,Show It Off,Kafime
0.753,0.616,2,-6.143,0.0276,0.167,3.37e-06,0.0763,0.387,120.079,1.02,0,I Want More,Kafime
